sequence,kind,id,section,title,format,layout_label,size,quality,background,filename,caption,overlay,style,role,prompt_core
18,subsection,2.2,2,Why commutativity is not a coincidence,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,018_2_2_why_commutativity_is_not_a_coincidence.png,The same endpoint from two orders is a geometric symmetry.,Use vector overlay for exact arrowheads and optional labels.,parallelogram law plate,Reveal commutativity as a symmetry of flat-space translations.,"Create a clean but beautiful illustration of two vectors in the plane forming a parallelogram, with two faint motion sequences showing a-then-b and b-then-a landing at the same corner. The important feeling is inevitability: the diagonal is not a mnemonic trick but the natural summary of flat-space motion. Refined blueprint lines combined with soft depth and elegant color restraint."
19,subsection,2.3,2,Subtraction is composition with the inverse move,H,Half-page conceptual plate,1536x1024,high,opaque,019_2_3_subtraction_is_composition_with_the_inverse_move.png,Subtraction is addition of the move that undoes.,,inverse-motion scene,Show subtraction as undoing rather than removal mysticism.,"Illustrate a displacement arrow and its exact inverse as equal rigid moves in opposite directions, perhaps on a smooth rail or floor grid. Then show a path where one move is followed by the undoing move, returning to the start with a calm closed loop. The image should make subtraction feel like composition with an inverse action, not like taking away apples."
20,subsection,2.4,2,Associativity: grouping does not change the total path,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,020_2_4_associativity_grouping_does_not_change_the_total_path.png,"Different groupings, same accumulated displacement.",,three-move choreography,Show grouping differences as invisible to the final motion outcome.,"Compose an elegant three-step path in space with translucent brackets grouping the first two moves in one version and the last two in another version, yet both sequences collapse onto the same final trajectory. The visual emphasis should be on endpoint invariance under regrouping. Use ghosted arcs or subtle brace shapes rather than text. Sophisticated motion-structure illustration."
21,subsection,2.5,2,Another lens: addition as bookkeeping of change,H,Half-page conceptual plate,1536x1024,high,opaque,021_2_5_another_lens_addition_as_bookkeeping_of_change.png,"Addition also lives in cumulative change, not only in space.",,ledger and cumulative change panel,Offer a non-spatial lens that still preserves structure.,"Create a refined editorial image of a ledger or dashboard of gains and losses stacking over time, with positive and negative changes accumulating into one net result. Avoid generic finance imagery; keep it abstract and structural, like bookkeeping as geometry. The visual rhyme with arrows should be present through vertical and horizontal accumulation traces, showing that motion and accounting share the same algebraic skeleton."
22,subsection,2.6,2,Historical note: from counting to structure,V,Historical vignette,1024x1536,high,opaque,022_2_6_historical_note_from_counting_to_structure.png,Operations became deeper when people asked what laws they obey.,,historical evolution montage,Locate the shift from arithmetic procedure to abstract operation.,"Show a visual evolution from pebbles or tallies used for counting, to written algorithms on parchment, to a modern clean abstraction of translations on a line. The image should feel like the concept of addition maturing from a practical tallying act into an operation with identity, inverse, and symmetry. Keep the montage tight and coherent, not a noisy timeline."
23,subsection,2.7,2,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,023_2_7_thought_experiments.png,Run the move sequence in your head and trust the structure you see.,,robot-floor thought experiment sketch,Let the reader test commutativity and inverse structure mentally.,"Depict a small robot or marker on a clean floor grid receiving two move instructions in alternate orders, both arriving at the same square; nearby, another tiny sequence goes out and then back to start. Make it feel like a quiet lab sketch rather than a cute robot cartoon. Sparse, crisp, and mentally runnable at a glance."
24,subsection,3.1,3,Equal partition is the key act,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,024_3_1_equal_partition_is_the_key_act.png,"Equal partition is built, not merely eyeballed.",Hybrid mode: precise parallels and tick marks can be overlaid.,construction plate with parallels,"Show equal partition as a genuine geometric achievement, not a casual visual guess.","Illustrate a segment being divided by a classical geometric construction: an auxiliary ray, equal compass steps on that ray, a connector to the segment endpoint, and parallel lines transporting equal spacing back onto the original segment. The scene should feel like craft knowledge becoming rigor. Use precise drafting-table aesthetics with tactile paper and brass instruments."
25,subsection,3.2,3,One over n is an actual constructed length,H,Half-page conceptual plate,1536x1024,high,opaque,025_3_2_one_over_n_is_an_actual_constructed_length.png,One over n names a real constructed magnitude.,,constructed-part spotlight,"Give 1/n physical dignity as a built segment, not a pizza-slice slogan.","Show the unit segment transformed into several equal parts, with one single part lifted visually into prominence like a crafted object of its own. The image should make that small segment feel legitimate and exact, not a disposable fraction piece. Elegant composition, subtle shadowing, strong sense of the part inheriting reality from the whole."
26,subsection,3.3,3,m/n is repeated taking of a constructed part,H,Half-page conceptual plate,1536x1024,high,opaque,026_3_3_m_n_is_repeated_taking_of_a_constructed_part.png,Fractions can be built from equal parts and repetition.,,rhythmic part-concatenation illustration,Make m/n feel like repeated concatenation of a built subunit.,"Create a sequence where one equal fraction-part is repeated end to end until a longer segment emerges, with the repeated piece clearly identical each time. Let the repetition read almost musically or architecturally, like modular construction. Keep the image clean and adult, emphasizing that m over n is made from a real piece taken repeatedly."
27,subsection,3.4,3,Equivalent fractions are the same magnitude wearing different descriptions,S,Split-screen corrective plate,1536x1024,high,opaque,027_3_4_equivalent_fractions_are_the_same_magnitude_wearing_different_descriptions.png,Different fraction stories can point to the same length.,,equivalence split/compression plate,Show symbolic plurality collapsing onto one congruent magnitude.,"Design an image in which several differently partitioned units—halves, quarters, hundredths—each highlight a selected total that lands on exactly the same resulting segment. The partitions can differ dramatically in granularity, but the extracted length should align perfectly in one final shared overlay. The viewer should feel the relief of sameness underneath multiple descriptions."
28,subsection,3.5,3,Commensurable versus incommensurable,H,Half-page conceptual plate,1536x1024,high,opaque,028_3_5_commensurable_versus_incommensurable.png,Some lengths share a measure; others refuse every common unit.,,two-panel ratio contrast,Visualize the difference between sharing a common measure and refusing one.,"Create a two-panel composition. In one panel, two segments are neatly tiled by repeated copies of a smaller common unit. In the other, a square’s side and diagonal resist exact common tiling no matter how small the trial unit becomes, with a subtle sense of stubborn mismatch. Keep the mood precise, not mystical. This is the first glimpse of the irrational problem."
29,subsection,3.6,3,Another lens: music and rhythm,H,Half-page conceptual plate,1536x1024,high,opaque,029_3_6_another_lens_music_and_rhythm.png,Fractions live in time as well as space.,,musical rhythm plate,Translate fraction structure into time and pulse for learners who feel rhythm before geometry.,"Show a refined rhythmic grid with pulses dividing a measure into halves, thirds, quarters, and syncopated patterns, visually matched to divided line segments nearby. The link should be structural: equal time partitions and equal spatial partitions are one idea in two media. No cartoon instruments; think elegant score fragments, handclap marks, resonant minimalism."
30,subsection,3.7,3,Historical note: why fractions mattered,V,Historical vignette,1024x1536,high,opaque,030_3_7_historical_note_why_fractions_mattered.png,Fractions were invented because life refused to arrive in wholes.,,historical daily-life montage,Ground fractions in concrete human pressures like allocation and measurement.,"Create a historically grounded montage of grain being portioned, a field boundary being measured, a recipe or vessel being divided, and a sky chart requiring fractional precision. The scenes should read as one civilization-level argument for why exact wholes were never enough. Textures of clay, linen, grain, and measured rope; serious and practical rather than quaint."
31,subsection,3.8,3,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,031_3_8_thought_experiments.png,Construction power depends on the allowed moves.,,construction thought sketch,Invite the reader to mentally test what tools can and cannot construct.,"Show a blank straightedge failing to mark one third directly, then an auxiliary ray and parallels suddenly making the division possible. Keep the composition minimal, like a marginal note in an architect’s sketchbook. The image should provoke the question: what operations are available, and what new powers do they unlock?"
32,subsection,3.9,3,Common confusion,S,Split-screen corrective plate,1536x1024,high,opaque,032_3_9_common_confusion.png,"A fraction can be a magnitude or a ratio, depending on the role.",,dual-life corrective plate,Differentiate the fraction as length from the fraction as pure ratio.,"Design a layered image where the same fraction notation is seen in two valid roles: as a selected subsegment of a unit line, and as a dimensionless comparison between magnitudes. Use transparent overlays and color-coding so the two lives are distinct but visibly connected. The goal is to prevent later dimensional confusion while honoring both uses."
33,subsection,4.1,4,Why this section is load-bearing,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,033_4_1_why_this_section_is_load_bearing.png,This chapter is the hidden foundation under the later machine.,,deep foundation plate,Signal that proportion theory is the hidden foundation beneath later similarity and multiplication.,"Create an image of a stone geometric edifice whose visible upper structure—similar triangles, multiplication, calculus machinery—rests on a deeper hidden foundation slab made of repeated integer comparisons and balance tests. It should feel like the reader is being shown the basement of the subject for the first time. Classical gravity, clean symbolic hints, no melodrama."
34,subsection,4.2,4,The Eudoxus definition,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,034_4_2_the_eudoxus_definition.png,Equal ratios survive every integer-scaled comparison.,Hybrid mode strongly recommended for exact multiple stacks and symbols.,ratio discrimination engine,Translate a difficult verbal definition into a memorable discrimination machine.,"Visualize Eudoxus proportion as two paired comparison tracks being tested by many integer multiples. Imagine stacked copies of segments A and B on one side and C and D on the other, with each trial pair m and n sending both sides into the same greater-than, equal-to, or less-than outcome channel. The image should make the definition feel like a rigorous sorting machine rather than a wall of words. Precise, almost mechanical, with room for later symbolic overlay."
35,subsection,4.3,4,Why this is brilliant rather than cumbersome,H,Half-page conceptual plate,1536x1024,high,opaque,035_4_3_why_this_is_brilliant_rather_than_cumbersome.png,The genius is that nothing stronger than comparison and repetition is assumed.,,intellectual relief illustration,Reframe the definition as elegant because it uses only what already exists.,"Show a complex-looking apparatus built only out of simple pieces already in hand: copied segments, comparison balances, and repeatable stacking. The emotional tone should be one of relief and admiration, as though the reader sees that no illicit multiplication was smuggled in. Think of a disciplined machine assembled from humble components. Serious, clear, quietly beautiful."
36,subsection,4.4,4,Easy case and hard case,S,Split-screen corrective plate,1536x1024,high,opaque,036_4_4_easy_case_and_hard_case.png,The hard case is where a deeper definition earns its keep.,,easy-vs-hard ratio plate,Contrast commensurable comfort with incommensurable necessity.,"Compose a split-panel image. One side shows two segments cleanly measured by a shared smaller unit, everything snapping into tidy integer counts. The other shows a pair like side and diagonal resisting perfect common measurement, yet still being comparable through a higher-order proportion framework. The contrast should feel like mathematics refusing to give up when whole-number comfort ends."
37,subsection,4.5,4,"The intercept theorem is now earned, not assumed",D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,037_4_5_the_intercept_theorem_is_now_earned_not_assumed.png,Parallel lines inherit rigor once ratio has been defined properly.,Exact geometry lines and labels should be overlaid after generation.,sunlit theorem plate,Show parallel lines transporting ratio after the foundation has been built.,"Illustrate two transversals cut by several parallel lines, with corresponding segments on each transversal visibly linked through a calm, earned geometric order. The scene can be staged on parchment or stone with faint triangle areas hinting at the proof underneath. The important feeling is legitimacy: the theorem now rests on prior theory instead of handwaving. Classical elegance, exact linework overlay recommended."
38,subsection,4.6,4,"Similarity as same shape, different scale",H,Half-page conceptual plate,1536x1024,high,opaque,038_4_6_similarity_as_same_shape_different_scale.png,Similarity is shape that survives scale change.,,shape-preservation plate,Make similarity feel like shape-preserving transformation rather than visual resemblance.,"Show one triangle dilating into a larger one through a common origin or through matched angle structure, with their corresponding sides connected by delicate luminous threads. The image should emphasize invariance of shape under change of scale, not merely two triangles that happen to look alike. Crisp, serene, Euclidean, slightly luminous."
39,subsection,4.7,4,Historical note: the irrationality shock,V,Historical vignette,1024x1536,high,opaque,039_4_7_historical_note_the_irrationality_shock.png,The diagonal of the square broke the old comfort of common measure.,,intellectual shock tableau,Capture the conceptual jolt of discovering incommensurable magnitudes.,"Create a moody but disciplined scene centered on a square and its diagonal, with measuring cords or rods that keep failing to settle into a common repeat. Let the human figures look absorbed rather than melodramatic. The atmosphere should suggest a crack opening inside an older worldview: arithmetic alone is not enough. Marble, twilight, measured tension."
40,subsection,4.8,4,Another lens: ratio as a fingerprint,H,Half-page conceptual plate,1536x1024,high,opaque,040_4_8_another_lens_ratio_as_a_fingerprint.png,A ratio can be understood as a structural fingerprint.,,fingerprint metaphor plate,Provide a modern metaphor for sameness of ratio across different objects.,"Show very different objects—a rectangle, a photograph crop, a musical interval waveform, maybe a map enlargement—sharing one hidden ratio pattern rendered as the same luminous fingerprint-like contour or bar-code signature behind them. The metaphor should say: ratio equality is an identity pattern that survives change of medium and size. Modern editorial style, sleek, memorable, not gimmicky."
41,subsection,4.9,4,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,041_4_9_thought_experiments.png,Keep throwing integer comparisons at the ratios and see whether they ever part company.,,comparison-lab sketch,Encourage the reader to test ratio equality through repeated comparisons.,"Create a sparse experimental setup with stacks of copied segments being compared in successive trials, as if a careful thinker is asking over and over whether two candidate ratios ever disagree. The image should feel like a lab bench for pure comparison. Low clutter, repeated forms, meditative rigor."
42,subsection,4.10,4,What this section teaches beyond geometry,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,042_4_10_what_this_section_teaches_beyond_geometry.png,Many deep objects are defined by the full set of tests they survive.,,meta-structure bridge plate,Generalize the deeper pattern: define an object by the full set of tests it passes.,"Design a conceptual bridge image showing several later ideas—real numbers from nested intervals, derivatives from stabilizing secants, symmetry classes from invariants—all emerging as descendants of one deeper pattern: an object identified by the totality of finite tests it survives. Use repeated visual motifs of filters, narrowing windows, and invariant signatures. This should feel like a revelation about mathematical method itself."
43,subsection,5.1,5,Repeated addition is only one shadow of multiplication,S,Split-screen corrective plate,1536x1024,high,opaque,043_5_1_repeated_addition_is_only_one_shadow_of_multiplication.png,Repeated addition is a special case; scaling is the core.,,shadow-vs-core split plate,Break the school habit of treating multiplication as only repeated addition.,"Create a split image. One side shows repeated equal jumps on a line, useful but visibly limited. The other shows a true dilation scene: a shape or segment being resized from an origin, with scale affecting every point at once. The right side should feel deeper and more general, as though the repeated-addition story is only a shadow cast by the richer transformation picture."
44,subsection,5.2,5,Dilation: the clean geometric meaning,H,Half-page conceptual plate,1536x1024,high,opaque,044_5_2_dilation_the_clean_geometric_meaning.png,Scaling means every point keeps its ray and changes its distance by a factor.,,luminous dilation plate,Make scaling about an origin immediate and bodily intelligible.,"Show an origin sending rays outward through points of a shape as that shape enlarges or shrinks along those rays. Every point should remain on its ray, and distances from the origin should visibly scale in proportion. Think of a clean geometric sunburst or optical projector, but elegant and restrained. The image must teach what dilation does in one glance."
45,subsection,5.3,5,The similar-triangle multiplication machine,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,045_5_3_the_similar_triangle_multiplication_machine.png,Multiplication can be built as a geometric machine for scaling one magnitude by another.,"Hybrid mode essential: use AI base for atmosphere and vector overlay for exact rays, parallels, and labels.",drafting-table machine plate,Turn the multiplication construction into a memorable device rather than a dry diagram.,"Illustrate the similar-triangle multiplication machine on a refined drafting table: perpendicular rays from an origin, the unit point, a point marking a, a point marking b, a slanted connector, and a parallel through a producing the product location. The image should feel like a real mathematical instrument, almost a precision machine for manufacturing products out of geometry. Clean enough for later labels and coordinates to be overlaid."
46,subsection,5.4,5,Three meanings that textbooks collapse into one symbol,S,Split-screen corrective plate,1536x1024,high,opaque,046_5_4_three_meanings_that_textbooks_collapse_into_one_symbol.png,The same symbol can host different operations; the type signature tells you which world you are in.,,three-world type-signature plate,"Visually separate scale-factor times length, length times length, and pure number times pure number.","Design a three-panel image sharing the same multiplication symbol but showing three genuinely different worlds: a dimensionless scale factor stretching a segment, two lengths forming a rectangle of area, and two pure numbers combining abstractly in a clean symbolic register. The panels should rhyme but not blur into each other. This must inoculate the reader against later dimension errors."
47,subsection,5.5,5,Why multiplication is commutative,D,Hybrid diagram plate; overlay exact geometry/labels later if needed,1536x1024,high,opaque,047_5_5_why_multiplication_is_commutative.png,The order swap leaves the product invariant because the geometry is symmetric.,Overlay exact correspondences after generation.,symmetric scaling plate,Show the symmetry behind ab = ba in the scaling construction.,"Create a balanced image where the multiplication machine is mirrored or swapped so that scaling b by a and scaling a by b are visibly the same geometric relation seen from two orientations. The composition should feel like a proof by symmetry rather than a slogan. Use clean intersecting rays and paired triangles, but keep it elegant and spacious."
48,subsection,5.6,5,Distributivity becomes geometric,H,Half-page conceptual plate,1536x1024,high,opaque,048_5_6_distributivity_becomes_geometric.png,Scaling a whole joined thing equals scaling the pieces and joining them again.,,segmented-scaling plate,Make the distributive law feel like scaling preserving joins and pieces.,"Show a single segment made of two joined pieces being dilated, while beside it the two pieces are dilated separately and then rejoined, both yielding the same total result. The composition can echo a folding ruler or extendable instrument. The emotional tone should be inevitability: scaling respects structure and therefore distributes over concatenation."
49,subsection,5.7,5,Historical note: geometry and algebra eventually shake hands,V,Historical vignette,1024x1536,high,opaque,049_5_7_historical_note_geometry_and_algebra_eventually_shake_hands.png,Multiplication became richer when geometry and algebra met.,,historical handshake tableau,Place the geometric and symbolic traditions in dialogue rather than rivalry.,"Create a historically layered image in which a classical geometer with compass and straightedge shares a compositional space with a later algebraist working symbolically, their tools and marks converging onto one common construction. Avoid caricature. The image should suggest that geometry and algebra were once different dialects that gradually learned to speak to each other."
50,subsection,5.8,5,Thought experiments,M,Margin or thought-experiment sketch,1024x1024,high,opaque,050_5_8_thought_experiments.png,"Ask what changes under resizing, and what stubbornly survives.",,everyday scaling thought sketch,Invite the reader to test the resizing viewpoint personally.,"Show a quiet set of everyday scale experiences: zooming an image on a screen, enlarging a photocopy, and stretching a simple shape from an origin. Keep the scenes minimal and parallel, so the learner can mentally ask what is preserved and what changes. Sparse, lucid, adult."
51,subsection,6.1,6,The single equation behind all division,B,Bridge plate / wide in-flow conceptual image,1536x1024,high,opaque,051_6_1_the_single_equation_behind_all_division.png,One relation hides under several different division stories.,,one-spine bridge plate,Give one unifying spine for the many faces of division.,"Center the image on a single transformative equation rendered visually rather than typographically: an unknown action q acting on b to produce a. From that center, three branches should open into measurement, sharing, and rate. The composition should feel like a master key unlocking three doors. Strong central symmetry, adult editorial style, no classroom vibe."
52,subsection,6.2,6,Quotitive division: measurement,H,Half-page conceptual plate,1536x1024,high,opaque,052_6_2_quotitive_division_measurement.png,Quotitive division asks for a pure count of fit.,,measurement plate,Show division as asking how many copies of one chunk fit into another.,"Illustrate a long segment or rope being tiled exactly by repeated copies of a shorter segment, with the answer appearing as a count of how many chunks fit. Make the result feel dimensionless: the important thing is the count of fit, not a leftover physical piece. Tactile materials, calm lighting, clear repeated chunk structure."
