prompt_id,section_id,title,visual_family,placement,priority,regeneration_priority,recommended_model,api_quality,api_size,recommended_variants,reference_tags,caption,overlay_notes,assembled_prompt
GFV6-0_2-A,0.2,Congruence: sameness without counting,Tactile workshop realism,diagram-art hybrid,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick; SYS.2 amber_invariant_glow,Sameness is what survives rigid motion.,"Overlay optional: endpoint names and motion arrows. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: two segments on separate sheets of translucent vellum.
Conceptual action: Sameness is what survives rigid motion; one sheet has been slid, rotated, and flipped in three ghosted positions until the segments land in perfect overlap
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-0_3-A,0.3,The first honest act of measurement: choose a unit,Tactile workshop realism,conceptual pipeline,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,Measurement is a relationship between a magnitude and a chosen reference.,"Overlay recommended for stage labels. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: four calm stages from left to right: raw segment, chosen brass unit stick, repeated comparison of the unit against the segment, and a small blank tag waiting for the measured report.
Conceptual action: Measurement is a relationship between a magnitude and a chosen reference; the tag is visually last and least physical
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-0_4-A,0.4,Comparison before multiplication,Tactile workshop realism,small horizontal plate,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,Comparison and concatenation are enough for the first layer of mathematics.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: three rods: A and B are placed end-to-end to form a combined length; C sits below as the target comparison.
Conceptual action: Comparison and concatenation are enough for the first layer of mathematics; use shadows and alignment to make longer, shorter, and equal feel decidable using alignment rather than generated numbers
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-0_5-A,0.5,What school usually hides here,Tactile workshop realism,split-panel corrective image,core,high,gpt-image-1.5,high,1536x1024,3,SYS.1 brass_unit_stick,Most early confusion comes from collapsing several layers into one.,"Overlay can add layer names. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a calm corrective split image.
Conceptual action: Most early confusion comes from collapsing four layers into one; on the left, show one confusing heap where point, segment, unit stick, arrow, and report token have been collapsed together
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-0_6-A,0.6,Historical note: why the Greeks cared so much,Tactile workshop realism,vertical historical tableau,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,Incommensurable lengths forced mathematics toward proof.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: instrument-led historical still life; one era-specific work surface, closed books, blank tools only
Subject: survey ropes, limestone blocks, a wax tablet, and a square whose diagonal refuses to match a neat row of counting pebbles.
Conceptual action: Incommensurable lengths forced mathematics toward proof; two hands hover over the diagonal, with the seriousness of people realizing computation alone fails
Composition: single still-life or one restrained historical scene; exactly one practical problem is visible through instruments
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: closed books, blank paper, abstract ticks only; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: historical editorial plate; context comes from instruments and one practical problem; restrained scene"
GFV6-0_7-A,0.7,Thought experiments,Tactile workshop realism,margin prompt image,core,high,gpt-image-1.5,high,1024x1024,3,SYS.1 brass_unit_stick,Run the idea with your hands before accepting the notation.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: the same unchanged object measured twice with two different unit sticks: one short brass unit repeated eight times, one longer wood unit repeated four times.
Conceptual action: Run the idea with your hands before accepting the notation; the object remains physically identical in the center while the reports are represented only by two blank tags waiting for overlay
Composition: interactive puzzle-like still life; one object and one visible manipulation; generous empty space for margin placement
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: small margin plate for reflective adult learning"
GFV6-0_8-A,0.8,Common confusion to kill early,Tactile workshop realism,corrective plate,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,"A thing, a standard, and a number are related but not identical.","Overlay optional: layer names. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a table edge seen through three translucent layers.
Conceptual action: A thing, a standard, and a number are related but distinct; bottom layer: the actual edge
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-1-A,1,The number line as geometry: oriented length,Tactile workshop realism,chapter opener,core,normal,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,A number line is a chosen frame placed on a line.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a bare road becoming a coordinate line only after three deliberate choices: a stake hammered as origin, an arrow of travel painted on the ground, and a unit stride marked by a brass rod.
Conceptual action: A number line is a chosen frame placed on a line; the world looks unchanged before and after; only the reference frame has been installed
Composition: chapter-opener plate; one dominant metaphor with two or three supporting objects; wide negative space for title overlay
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-1_1-A,1.1,A line becomes a number line only after choices,Tactile workshop realism,diagram-art hybrid,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick; SYS.5 rotating_bead,"Origin, direction, and unit turn a line into a number line.","Overlay recommended for O, direction arrow, and unit. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a plain line on a drafting table as a stage before performance.
Conceptual action: Origin, direction, and unit turn a line into a number line; a hand places a small pin for origin, a compass arrow sets positive direction, and a unit tile is laid down
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-1_2-A,1.2,Directed segments: where negatives actually come from,Tactile workshop realism,horizontal plate,core,high,gpt-image-1.5,high,1536x1024,3,SYS.1 brass_unit_stick,"Negative means opposite direction, not less-than-real.","Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a fixed origin bead on a horizontal rail.
Conceptual action: Negative means opposite direction, opposite orientation; one arrow of a certain length points right; a matching ghost arrow of exactly the same length points left
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-1_3-A,1.3,Integers as repeated unit translations,Tactile workshop realism,small sequence image,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,Integers record repeated unit moves.,"Overlay optional: integer coordinates after generation. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a brass unit block being copied along a rail like identical train cars.
Conceptual action: Integers record repeated unit moves; each copy is a completed translation from the last endpoint
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-1_4-A,1.4,Another lens: balance sheets and elevators,Tactile workshop realism,triptych,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,Signed quantities are reference-relative orientations across domains.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a restrained triptych of orientation analogies with Each panel uses the same visual grammar: a reference, a direction, and equal distance in opposite orientations.
Conceptual action: Signed quantities are reference-relative orientations across domains.
Composition: exactly three equal panels with blank gutters; one conceptual role per panel; each panel contains at most two main objects
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-1_5-A,1.5,Historical note: why negatives felt suspicious,Tactile workshop realism,historical note plate,core,high,gpt-image-1.5,high,1536x1024,3,SYS.1 brass_unit_stick,Negatives were suspect until number could mean directed relation.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: instrument-led historical still life; one era-specific work surface, closed books, blank tools only
Subject: a historical merchant desk with physical tokens: ordinary assets sit above a reference line, debts hang below it like counterweights.
Conceptual action: Negatives were suspect until number could mean directed relation; one older ledger treats the below-line tokens as suspicious shadows; a newer geometric overlay shows them simply as opposite-directed quantities
Composition: single still-life or one restrained historical scene; exactly one practical problem is visible through instruments
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: closed books, blank paper, abstract ticks only; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: historical editorial plate; context comes from instruments and one practical problem; restrained scene"
GFV6-1_6-A,1.6,The dimension subtlety,Tactile workshop realism,layered explanatory plate,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,A coordinate is a report; a directed segment is a geometric object.,"Overlay recommended for dimension notes. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: one fixed point on a blank line, its directed segment from a chosen origin, and a separate blank coordinate tag hovering above like a report.
Conceptual action: A coordinate is a report; a directed segment is a geometric object; the physical arrow and the abstract tag different materials
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-1_7-A,1.7,Thought experiments,Tactile workshop realism,margin visual,core,normal,gpt-image-1.5,medium,1024x1024,1,SYS.1 brass_unit_stick,Change the frame and the report changes; the place does not.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a path with footsteps measured by two different reference sticks placed beside it.
Conceptual action: Change the frame and the report changes; the physical place stays fixed; one reference stick is short and repeats eight times; the other is longer and repeats four times
Composition: interactive puzzle-like still life; one object and one visible manipulation; generous empty space for margin placement
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: small margin plate for reflective adult learning"
GFV6-1_8-A,1.8,A preview of later structure,Tactile workshop realism,motif bridge,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,The number line is already a symmetry space.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a single luminous line visited by three hovering transformation glyphs: slide, reflect, scale.
Conceptual action: The number line is already a symmetry space; each glyph leaves a different trace while a small invariant glows beneath it: difference, distance, ratio
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-2-A,2,Addition and subtraction as geometry of motion,Tactile workshop realism,chapter opener,core,normal,gpt-image-1.5,high,1536x1024,2,SYS.1 brass_unit_stick,Addition is the geometry of chaining moves.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a figureless sequence of arrows moving across a clean floor: first arrow, second arrow, final displacement.
Conceptual action: Addition is the geometry of chaining moves; the final arrow floats above the two-step path like the compressed summary of the journey
Composition: chapter-opener plate; one dominant metaphor with two or three supporting objects; wide negative space for title overlay
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: opening editorial spread for a geometry-first adult learning book"
GFV6-2_1-A,2.1,Addition is composition of translations,Tactile workshop realism,diagram-art hybrid,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,The sum is the one move equivalent to two moves in sequence.,"Overlay for point names and arrow labels recommended. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a point traveling from P to Q to R as two physical arrow moves, with a single larger translucent arrow spanning start to finish.
Conceptual action: The sum is the one move equivalent to two moves in sequence; the intermediate point is visible but visually subordinate to the total displacement
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-2_2-A,2.2,Why commutativity is not a coincidence,Tactile workshop realism,hybrid diagram,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,Commutativity is a symmetry of translation in flat space.,"Overlay optional: a+b and b+a labels. Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: two arrows as colored glass strips forming adjacent sides of a parallelogram.
Conceptual action: Commutativity is a symmetry of translation in flat space; a diagonal beam reaches the same far corner by either route; ghosted footsteps trace both orders
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
GFV6-2_3-A,2.3,Subtraction is composition with the inverse move,Tactile workshop realism,small motion plate,core,normal,gpt-image-1.5,medium,1536x1024,1,SYS.1 brass_unit_stick,Subtracting means adding the undoing move.,"Add exact labels, axes, theorem lines, tick marks, and equations only as vector overlays after generation.","Scene: quiet tabletop workshop; wood surface, vellum sheets, pins, string, calipers, and side light
Subject: a bright arrow move followed by a translucent reversed arrow that perfectly unwinds it, like a path being rewound.
Conceptual action: Subtracting means adding the undoing move; the endpoint returns to the origin marker
Composition: one physical action; top-down or shallow angle; three primary objects maximum; empty margin for later labels
Materials / medium: editorial still life; brass, wood grain, linen string, matte paper, transparent vellum; 50mm lens feel; soft contact shadows
Surface / text policy: Text layer: all surfaces are blank or abstract texture; generated image contains zero letters, numerals, formulas, signage, or pseudo-script.
Use: pedagogical editorial plate for an adult math book"
